,Student id,first_name,last_name,Graduation Date,indicator
133,18-750-7536,Merv,Golly,10/24/2021,False
256,23-169-7930,Martainn,Tremblet,8/3/2021,True
198,26-317-5312,Mar,McCudden,7/27/2020,True
37,28-634-9406,Malcolm,Hillum,11/9/2020,True
98,39-054-5029,Bertrando,Berzin,2/3/2020,True
104,54-097-7339,Hershel,O'Gready,1/17/2022,True
281,70-072-5418,Westley,Evered,3/14/2022,True
89,87-296-3900,Nicolis,Mowett,4/21/2020,True
26,87-559-4788,Cristian,Jefferd,6/27/2021,True
268,94-459-4955,Denney,Lanmeid,2/6/2020,False
72,97-066-2851,Skipper,Aubrey,3/28/2021,True
