,Student id,first_name,last_name,Graduation Date,indicator
174,03-122-9147,Reynold,Kern,2/5/2020,True
154,40-855-7486,Gabie,Fust,11/21/2021,False
27,42-319-0195,Shaine,Roocroft,9/24/2021,True
275,48-992-7119,Uriah,Klosa,3/10/2021,True
156,63-525-2413,Otis,Hairsine,9/1/2021,False
49,80-828-9899,Chickie,Barbour,12/15/2021,True
269,83-775-6260,Oliver,Clyburn,7/20/2021,True
129,89-104-2542,Alfy,Fallen,9/12/2020,False
59,93-531-4630,Vincent,Olenchikov,10/17/2020,True
173,94-422-4514,Sanders,Fere,2/26/2022,False
44,99-444-5701,Rick,Sheridan,2/22/2021,False
