,Student id,first_name,last_name,Graduation Date,indicator
55,00-820-9932,Rex,Guion,2/11/2021,False
190,03-792-5071,Geri,Crips,4/3/2021,False
74,20-081-4222,Emlyn,Gowthrop,3/12/2022,False
250,20-659-5669,Renaldo,Ingold,3/15/2020,True
179,21-719-6634,Findley,Espinazo,2/27/2022,False
272,26-719-5687,Phillipp,Staker,10/12/2021,False
53,35-033-8700,Brady,Cadagan,7/26/2020,False
68,35-447-2651,Marvin,Blinde,2/17/2021,True
209,38-431-5204,Manfred,Caslane,1/5/2020,False
87,41-637-9159,Osbourn,Semark,6/9/2020,True
1,45-828-9619,Jermayne,Meir,2/13/2020,True
93,54-587-4185,Patten,Bahde,1/23/2021,False
42,57-670-1927,Em,L'Amie,1/19/2021,True
255,60-385-2925,Cort,Keach,7/8/2020,True
211,66-296-6126,Chadd,Millican,9/9/2020,True
70,69-797-0834,Brett,Greatbanks,4/24/2021,True
58,74-389-1755,Shelton,Oakeshott,10/15/2021,True
20,88-034-9530,Dana,Coulter,6/25/2021,False
5,91-194-7385,Gian,Millar,1/4/2022,True
249,97-858-6349,Constantino,McVittie,3/15/2020,False
192,97-882-5657,Tracie,Smalley,4/3/2020,False
241,98-814-2561,Ellswerth,Jina,6/2/2021,False
