,Student id,first_name,last_name,Graduation Date,indicator
230,01-963-2594,Arlin,Gianolo,11/12/2021,True
25,01-982-8496,Fidelio,Swannell,1/8/2022,False
121,02-615-3265,Desmund,Daniello,5/11/2021,True
91,06-009-8590,Michail,Madoc-Jones,8/20/2020,True
61,11-269-3694,Ashbey,Colby,11/28/2021,True
142,16-911-0984,Abraham,Roxby,6/22/2021,False
40,17-878-9710,Tamas,Boyack,4/30/2020,True
57,18-741-3615,Wendall,McCarrison,11/5/2020,False
271,21-092-0668,Jdavie,Duddle,2/8/2021,False
203,21-266-0923,Del,Devo,3/11/2022,False
99,25-488-5431,Rene,Sanford,7/21/2020,True
290,28-725-5000,Haskel,Brookes,11/21/2021,False
88,29-388-4131,Blaine,Kuhnt,7/5/2021,True
119,33-694-5072,Vidovik,Handscomb,8/29/2021,True
101,40-888-6531,Cirilo,Labba,10/23/2020,True
239,43-912-5069,Nolan,Lebell,10/17/2020,False
30,48-276-1353,Boony,Frearson,2/9/2021,True
200,56-438-3510,Cullan,Eastment,12/19/2019,True
289,58-696-0411,Duffy,Chessum,4/19/2021,True
153,61-430-5540,Faulkner,Colmer,11/21/2021,False
16,64-388-5770,Ashby,MacKibbon,12/17/2020,False
187,66-129-8928,Dmitri,Burne,11/10/2021,True
114,66-594-3066,Rollie,Tiebe,2/15/2022,True
244,66-656-4820,Husain,Drayton,5/8/2020,True
172,69-628-1045,Prentiss,Cradoc,11/3/2021,True
248,69-724-6366,Mikkel,Powis,10/9/2021,True
149,71-489-2465,Errol,Sends,3/10/2022,False
188,72-324-8600,Emile,Lacknor,10/18/2020,False
284,77-146-2454,Wernher,Brooksbie,9/27/2020,False
140,85-195-3573,Allister,Secker,10/3/2020,True
208,89-364-9682,Elias,Trevorrow,8/27/2020,False
293,94-341-7573,Sandro,Fieldstone,11/21/2021,False
