,Student id,first_name,last_name,Graduation Date,indicator
237,13-004-2396,Dwayne,Romand,12/7/2021,True
22,17-669-3149,Neddie,Heustice,9/25/2020,False
295,29-559-2681,Sidney,Whiston,7/30/2020,True
96,35-673-5629,Sax,Armiger,10/26/2020,True
126,54-504-4430,Diego,Waterland,10/18/2021,False
7,54-802-1641,Rurik,Bonney,1/20/2020,True
131,57-499-7563,Hi,Hirtzmann,6/22/2021,False
67,65-231-0073,Eustace,Jako,5/30/2020,True
299,74-315-6053,Vincenty,Duggen,2/11/2020,True
171,88-016-1012,Culver,Treffry,8/4/2020,False
196,92-783-1007,Herrick,Saward,9/29/2021,False
113,97-521-7312,Ferris,Elflain,7/5/2020,False
242,98-523-9593,Ferdinand,Olesen,3/25/2020,True
