,Student id,first_name,last_name,Graduation Date,indicator
64,03-854-7923,Sayer,Phippard,1/20/2020,False
2,28-568-8496,Gibbie,Von Helmholtz,12/28/2021,False
161,30-228-3262,Brooks,Merriday,4/13/2020,False
94,60-203-2756,Leif,Rosita,12/20/2021,False
103,66-434-7059,Gardener,Jullian,6/18/2021,True
182,72-533-7365,Hale,Mercik,12/7/2021,False
288,73-737-6670,Dame,McTear,3/11/2021,True
6,76-433-4886,Tammie,Truce,4/17/2021,True
247,79-459-7624,Sigismond,Pindred,2/17/2021,True
45,95-800-7155,Hercule,Kidner,11/8/2021,True
124,99-827-5318,Luigi,Olivelli,11/22/2021,False
