,Student id,first_name,last_name,Graduation Date,indicator
210,02-578-1059,Randal,Weiss,11/17/2020,False
151,09-437-8370,Had,Hartop,10/21/2021,False
122,12-613-4702,Xever,Woollends,2/13/2020,True
14,26-163-1838,Eliot,Littlejohn,12/2/2020,False
123,42-659-9092,Don,Frango,1/12/2021,False
105,46-672-2644,Daniel,Casaroli,1/2/2020,True
90,53-298-5898,Burnard,Purcer,5/7/2020,False
276,59-063-1587,Devlin,Tonbridge,8/15/2021,False
169,83-169-8286,Remus,Brenneke,5/5/2021,True
12,96-365-6344,Tuckie,Gonoude,12/24/2019,True
0,97-539-8581,Aldo,Stive,11/25/2020,True
