,Student id,first_name,last_name,Graduation Date,indicator
207,02-097-1641,Nigel,Nairn,4/4/2021,True
202,08-786-2012,Karel,Paddemore,1/5/2021,True
217,26-535-0396,Fabien,Finnis,5/6/2020,True
134,30-089-6485,Calvin,Ranby,12/23/2019,False
146,37-000-9685,Niven,Tadlow,11/16/2020,False
165,37-751-4792,Ivor,Nagle,6/24/2021,False
82,38-650-1543,Barnaby,Vidler,3/24/2020,False
160,43-311-4435,Randolph,Minerdo,7/21/2020,True
3,58-419-2863,Odie,Blagden,1/5/2020,True
240,68-421-4846,Kahaleel,Mustoo,3/16/2020,False
232,74-575-1189,Waldo,Gregor,7/9/2020,True
145,86-238-2460,Ingra,Christaeas,6/19/2020,True
261,99-384-5889,Artemis,Czajkowska,1/8/2020,False
