,Student id,first_name,last_name,Graduation Date,indicator
111,00-359-2526,Morie,Yukhin,3/15/2022,True
41,16-075-1866,Carter,Codling,6/4/2020,True
228,23-333-6428,Maxy,Rudd,9/23/2020,True
83,25-895-7263,Penrod,Rheam,5/23/2020,True
75,30-590-6653,Car,Deavin,8/5/2021,False
79,31-670-7604,Cullan,Lynes,4/1/2020,False
150,41-637-4261,Johannes,Botwright,10/30/2021,True
205,41-641-4515,Leeland,Fedder,8/19/2021,True
152,46-854-2666,Lew,Vankin,6/26/2021,True
195,52-424-2599,Gabbie,Josifovitz,11/25/2021,True
181,78-342-8444,Virge,Edleston,4/2/2020,False
138,79-240-6751,Sheridan,Hartzenberg,7/13/2021,False
46,85-615-4310,Ethan,Winslow,3/18/2022,False
32,91-250-8052,Colet,Collacombe,4/9/2020,True
