,Student id,first_name,last_name,Graduation Date,indicator
238,06-682-4426,Lanie,Scamp,9/21/2021,False
251,15-226-0541,Rowan,Raddan,6/4/2021,True
218,15-717-5062,Demetris,Mordey,1/13/2021,True
100,28-328-7773,Winfred,Mulmuray,3/11/2022,True
175,30-709-6387,Lindon,Hourihane,2/11/2022,False
253,32-039-2882,Julian,Mendel,4/22/2020,False
139,46-974-5801,Jeffry,Egger,1/26/2020,True
286,69-611-3628,Rafi,Corde,2/25/2020,True
216,71-358-9990,Lowrance,Brangan,10/31/2021,False
280,74-834-2710,Eamon,Donlon,12/14/2021,True
77,84-651-2188,Temple,Borland,2/7/2022,False
11,86-196-7092,Bradan,Heinemann,12/25/2020,True
