,Student id,first_name,last_name,Graduation Date,indicator
194,04-598-7241,Arch,Coston,8/18/2020,True
214,04-960-1758,Bailie,Edgeworth,2/2/2020,False
279,16-423-8543,Ransom,Walby,12/30/2019,False
297,22-126-5721,Jamil,Spyvye,5/24/2020,True
148,27-833-9969,Traver,Karle,11/18/2021,True
183,32-832-5533,Reinhold,Shelper,5/22/2020,False
191,35-540-4168,Pepito,Lossman,12/31/2019,False
63,46-694-4442,Yul,Lanahan,12/13/2020,True
117,62-071-3524,Miguel,Goad,3/26/2022,False
60,63-016-4495,Grannie,Reagan,4/1/2022,True
136,75-399-3709,Fergus,Mussett,5/6/2021,True
23,88-457-7787,Joshia,Joseland,12/14/2019,False
62,89-630-8297,Nobie,Pridding,4/15/2021,True
78,91-318-0393,Judas,Sutcliffe,7/5/2021,True
48,92-544-6628,Bay,Olford,8/6/2020,False
